id,left,top,right,bottom
"1",503568.2,200933.9,504068.2,200433.9
"2",503568.2,200433.9,504068.2,199933.9
"3",503568.2,199933.9,504068.2,199433.9
"4",503568.2,199433.9,504068.2,198933.9
"5",503568.2,198933.9,504068.2,198433.9
"6",503568.2,198433.9,504068.2,197933.9
"7",503568.2,197933.9,504068.2,197433.9
"8",503568.2,197433.9,504068.2,196933.9
"9",503568.2,196933.9,504068.2,196433.9
"10",503568.2,196433.9,504068.2,195933.9
"11",503568.2,195933.9,504068.2,195433.9
"12",503568.2,195433.9,504068.2,194933.9
"13",503568.2,194933.9,504068.2,194433.9
"14",503568.2,194433.9,504068.2,193933.9
"15",503568.2,193933.9,504068.2,193433.9
"16",503568.2,193433.9,504068.2,192933.9
"17",503568.2,192933.9,504068.2,192433.9
"18",503568.2,192433.9,504068.2,191933.9
"19",503568.2,191933.9,504068.2,191433.9
"20",503568.2,191433.9,504068.2,190933.9
"21",503568.2,190933.9,504068.2,190433.9
"22",503568.2,190433.9,504068.2,189933.9
"23",503568.2,189933.9,504068.2,189433.9
"24",503568.2,189433.9,504068.2,188933.9
"25",503568.2,188933.9,504068.2,188433.9
"26",503568.2,188433.9,504068.2,187933.9
"27",503568.2,187933.9,504068.2,187433.9
"28",503568.2,187433.9,504068.2,186933.9
"29",503568.2,186933.9,504068.2,186433.9
"30",503568.2,186433.9,504068.2,185933.9
"31",503568.2,185933.9,504068.2,185433.9
"32",503568.2,185433.9,504068.2,184933.9
"33",503568.2,184933.9,504068.2,184433.9
"34",503568.2,184433.9,504068.2,183933.9
"35",503568.2,183933.9,504068.2,183433.9
"36",503568.2,183433.9,504068.2,182933.9
"37",503568.2,182933.9,504068.2,182433.9
"38",503568.2,182433.9,504068.2,181933.9
"39",503568.2,181933.9,504068.2,181433.9
"40",503568.2,181433.9,504068.2,180933.9
"41",503568.2,180933.9,504068.2,180433.9
"42",503568.2,180433.9,504068.2,179933.9
"43",503568.2,179933.9,504068.2,179433.9
"44",503568.2,179433.9,504068.2,178933.9
"45",503568.2,178933.9,504068.2,178433.9
"46",503568.2,178433.9,504068.2,177933.9
"47",503568.2,177933.9,504068.2,177433.9
"48",503568.2,177433.9,504068.2,176933.9
"49",503568.2,176933.9,504068.2,176433.9
"50",503568.2,176433.9,504068.2,175933.9
"51",503568.2,175933.9,504068.2,175433.9
"52",503568.2,175433.9,504068.2,174933.9
"53",503568.2,174933.9,504068.2,174433.9
"54",503568.2,174433.9,504068.2,173933.9
"55",503568.2,173933.9,504068.2,173433.9
"56",503568.2,173433.9,504068.2,172933.9
"57",503568.2,172933.9,504068.2,172433.9
"58",503568.2,172433.9,504068.2,171933.9
"59",503568.2,171933.9,504068.2,171433.9
"60",503568.2,171433.9,504068.2,170933.9
"61",503568.2,170933.9,504068.2,170433.9
"62",503568.2,170433.9,504068.2,169933.9
"63",503568.2,169933.9,504068.2,169433.9
"64",503568.2,169433.9,504068.2,168933.9
"65",503568.2,168933.9,504068.2,168433.9
"66",503568.2,168433.9,504068.2,167933.9
"67",503568.2,167933.9,504068.2,167433.9
"68",503568.2,167433.9,504068.2,166933.9
"69",503568.2,166933.9,504068.2,166433.9
"70",503568.2,166433.9,504068.2,165933.9
"71",503568.2,165933.9,504068.2,165433.9
"72",503568.2,165433.9,504068.2,164933.9
"73",503568.2,164933.9,504068.2,164433.9
"74",503568.2,164433.9,504068.2,163933.9
"75",503568.2,163933.9,504068.2,163433.9
"76",503568.2,163433.9,504068.2,162933.9
"77",503568.2,162933.9,504068.2,162433.9
"78",503568.2,162433.9,504068.2,161933.9
"79",503568.2,161933.9,504068.2,161433.9
"80",503568.2,161433.9,504068.2,160933.9
"81",503568.2,160933.9,504068.2,160433.9
"82",503568.2,160433.9,504068.2,159933.9
"83",503568.2,159933.9,504068.2,159433.9
"84",503568.2,159433.9,504068.2,158933.9
"85",503568.2,158933.9,504068.2,158433.9
"86",503568.2,158433.9,504068.2,157933.9
"87",503568.2,157933.9,504068.2,157433.9
"88",503568.2,157433.9,504068.2,156933.9
"89",503568.2,156933.9,504068.2,156433.9
"90",503568.2,156433.9,504068.2,155933.9
"91",503568.2,155933.9,504068.2,155433.9
"92",504068.2,200933.9,504568.2,200433.9
"93",504068.2,200433.9,504568.2,199933.9
"94",504068.2,199933.9,504568.2,199433.9
"95",504068.2,199433.9,504568.2,198933.9
"96",504068.2,198933.9,504568.2,198433.9
"97",504068.2,198433.9,504568.2,197933.9
"98",504068.2,197933.9,504568.2,197433.9
"99",504068.2,197433.9,504568.2,196933.9
"100",504068.2,196933.9,504568.2,196433.9
"101",504068.2,196433.9,504568.2,195933.9
"102",504068.2,195933.9,504568.2,195433.9
"103",504068.2,195433.9,504568.2,194933.9
"104",504068.2,194933.9,504568.2,194433.9
"105",504068.2,194433.9,504568.2,193933.9
"106",504068.2,193933.9,504568.2,193433.9
"107",504068.2,193433.9,504568.2,192933.9
"108",504068.2,192933.9,504568.2,192433.9
"109",504068.2,192433.9,504568.2,191933.9
"110",504068.2,191933.9,504568.2,191433.9
"111",504068.2,191433.9,504568.2,190933.9
"112",504068.2,190933.9,504568.2,190433.9
"113",504068.2,190433.9,504568.2,189933.9
"114",504068.2,189933.9,504568.2,189433.9
"115",504068.2,189433.9,504568.2,188933.9
